# HOMER Peaks
# Peak finding parameters:
# tag directory = /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_forHomer_HomerTags
#
# total peaks = 20447
# peak size = 1000
# peaks found using tags on both strands
# minimum distance between peaks = 2500
# fragment length = 170
# genome size = 2000000000
# Total tags = 34851833.0
# Total tags in peaks = 6020541.0
# Approximate IP efficiency = 17.27%
# tags per bp = 0.016404
# expected tags per peak = 16.404
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.506879e-06
# FDR tag threshold = 37.0
# number of putative peaks = 291816
#
# input tag directory = /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_Vs_Sorted_Input_Limb_forHomer_HomerTags
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1883
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = /ru-auth/local/home/tcarroll/Homer//bin/findPeaks /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_forHomer_HomerTags -i /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_Vs_Sorted_Input_Limb_forHomer_HomerTags -region -size 1000 -minDist 2500 -o /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/Peaks//HOMER/H3K27Ac_Limb_1/_H3K27Ac_Limb_1__Input_Limb_Homer/_H3K27Ac_Limb_1__Input_Limb_homer.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr7-5556	chr7	89516852	89518408	+	45.3	1556.000	74.000000	158.0	23.5	6.72	1.94e-74	1.01
chr7-6090	chr7	98783465	98785291	+	45.3	1826.000	69.000000	158.0	37.1	4.26	4.26e-49	0.95
chr7-8135	chr7	140967015	140969086	+	45.3	2071.000	57.000000	158.0	31.2	5.07	2.01e-58	0.95
chr8-12597	chr8	25239924	25241482	+	45.3	1558.000	41.000000	158.0	27.1	5.84	2.28e-66	0.93
chr8-6682	chr8	83667591	83669424	+	45.3	1833.000	57.000000	158.0	31.8	4.97	2.15e-57	0.98
chr8-5079	chr8	125279737	125282293	+	45.3	2556.000	68.000000	158.0	34.1	4.63	1.67e-53	0.98
chr9-3345	chr9	30975962	30977728	+	45.3	1766.000	94.000000	158.0	22.3	7.07	1.89e-77	0.92
chr9-3306	chr9	43988743	43990519	+	45.3	1776.000	95.000000	158.0	35.3	4.48	1.10e-51	0.96
chr9-8600	chr9	88547213	88549243	+	45.3	2030.000	50.000000	158.0	23.5	6.72	1.94e-74	0.97
chr10-7910	chr10	7725385	7727276	+	45.3	1891.000	46.000000	158.0	23.5	6.72	1.94e-74	0.97
chr10-6547	chr10	8851601	8853960	+	45.3	2359.000	51.000000	158.0	35.9	4.40	8.36e-51	0.94
chr10-4113	chr10	17074075	17076456	+	45.3	2381.000	69.000000	158.0	38.8	4.07	1.15e-46	0.94
chr10-2773	chr10	40191091	40192862	+	45.3	1771.000	93.000000	158.0	34.1	4.63	1.67e-53	0.93
chr11-6878	chr11	26488637	26490678	+	45.3	2041.000	76.000000	158.0	31.8	4.97	2.15e-57	0.93
chr11-2995	chr11	59471594	59472846	+	45.3	1252.000	138.000000	158.0	24.7	6.40	1.35e-71	0.97
chr11-6378	chr11	114866242	114868347	+	45.3	2105.000	81.000000	158.0	30.6	5.17	1.77e-59	0.94
chr13-6982	chr13	48877405	48879225	+	45.3	1820.000	47.000000	158.0	24.7	6.40	1.35e-71	0.98
chr13-3816	chr13	49369929	49371986	+	45.3	2057.000	68.000000	158.0	33.5	4.71	1.91e-54	0.92
chr13-2498	chr13	63450789	63452813	+	45.3	2024.000	91.000000	158.0	31.2	5.07	2.01e-58	0.97
chr13-4775	chr13	84347851	84350058	+	45.3	2207.000	59.000000	158.0	25.9	6.11	6.52e-69	0.94
chr14-1419	chr14	19823088	19824609	+	45.3	1521.000	120.000000	158.0	28.2	5.60	5.90e-64	0.94
chr15-2240	chr15	76195332	76196859	+	45.3	1527.000	100.000000	158.0	36.5	4.33	6.09e-50	0.91
chr15-2011	chr15	101983465	101984992	+	45.3	1527.000	108.000000	158.0	33.5	4.71	1.91e-54	0.94
chr16-3623	chr16	16895903	16897910	+	45.3	2007.000	57.000000	158.0	30.0	5.27	1.48e-60	0.95
chr16-3858	chr16	20240316	20241887	+	45.3	1571.000	55.000000	158.0	27.1	5.84	2.28e-66	0.99
chr16-1901	chr16	32453993	32455795	+	45.3	1802.000	86.000000	158.0	26.5	5.97	1.27e-67	0.96
chr16-1967	chr16	35154390	35156222	+	45.3	1832.000	84.000000	158.0	36.5	4.33	6.09e-50	0.97
chr16-4563	chr16	90357794	90360781	+	45.3	2987.000	51.000000	158.0	37.1	4.26	4.26e-49	1.05
chr17-5055	chr17	47787297	47789184	+	45.3	1887.000	62.000000	158.0	34.7	4.55	1.38e-52	0.93
chrX-1273	chrX	7841305	7843117	+	45.3	1812.000	74.000000	158.0	27.6	5.72	3.80e-65	0.96
chrX-953	chrX	75763761	75765526	+	45.3	1765.000	89.000000	158.0	25.9	6.11	6.52e-69	0.97
chrX-3162	chrX	102003834	102006855	+	45.3	3021.000	37.000000	158.0	31.8	4.97	2.15e-57	0.91
chr1-5099	chr1	55052094	55053893	+	45.0	1799.000	68.000000	157.0	24.7	6.36	8.62e-71	0.93
chr1-13502	chr1	163669415	163671188	+	45.0	1773.000	41.000000	157.0	27.6	5.68	2.17e-64	0.93
chr1-6026	chr1	163896412	163898813	+	45.0	2401.000	62.000000	157.0	34.7	4.52	6.32e-52	0.97
chr2-3662	chr2	4152797	4154600	+	45.0	1803.000	115.000000	157.0	31.2	5.04	1.02e-57	0.97
chr2-3369	chr2	29787531	29789080	+	45.0	1549.000	122.000000	157.0	33.5	4.68	9.03e-54	0.96
chr2-7011	chr2	61811262	61813049	+	45.0	1787.000	74.000000	157.0	28.2	5.56	3.30e-63	0.95
chr2-7054	chr2	122147055	122148836	+	45.0	1781.000	74.000000	157.0	27.1	5.80	1.33e-65	0.96
chr2-19426	chr2	132246776	132248839	+	45.0	2063.000	42.000000	157.0	30.0	5.23	7.81e-60	0.93
chr2-10844	chr2	168871507	168873862	+	45.0	2355.000	57.000000	157.0	35.9	4.38	3.69e-50	1.06
chr2-6414	chr2	172928613	172930728	+	45.0	2115.000	79.000000	157.0	37.1	4.24	1.82e-48	0.98
chr3-5675	chr3	127256697	127258835	+	45.0	2138.000	56.000000	157.0	31.8	4.94	1.07e-56	0.94
chr4-20898	chr4	46488555	46490415	+	45.0	1860.000	37.000000	157.0	31.8	4.94	1.07e-56	0.94
chr4-13665	chr4	53158438	53160749	+	45.0	2311.000	45.000000	157.0	32.3	4.85	1.06e-55	1.00
chr4-5448	chr4	88134925	88136731	+	45.0	1806.000	76.000000	157.0	27.6	5.68	2.17e-64	0.98
chr4-6190	chr4	106167007	106169426	+	45.0	2419.000	70.000000	157.0	33.5	4.68	9.03e-54	0.92
chr4-6879	chr4	126676878	126678701	+	45.0	1823.000	66.000000	157.0	27.6	5.68	2.17e-64	0.94
chr4-6221	chr4	130162807	130164372	+	45.0	1565.000	70.000000	157.0	33.5	4.68	9.03e-54	1.01
chr4-4850	chr4	134703215	134705395	+	45.0	2180.000	82.000000	157.0	38.8	4.04	4.70e-46	1.00
chr4-10120	chr4	139714140	139716293	+	45.0	2153.000	53.000000	157.0	35.9	4.38	3.69e-50	0.95
chr5-9957	chr5	31290026	31292387	+	45.0	2361.000	47.000000	157.0	36.5	4.31	2.64e-49	0.99
chr5-5397	chr5	36529453	36531052	+	45.0	1599.000	69.000000	157.0	24.7	6.36	8.62e-71	0.92
chr5-9654	chr5	99190279	99192169	+	45.0	1890.000	48.000000	157.0	35.3	4.45	4.93e-51	0.92
chr5-4478	chr5	118331208	118333032	+	45.0	1824.000	79.000000	157.0	28.2	5.56	3.30e-63	0.96
chr5-6105	chr5	135022821	135024623	+	45.0	1802.000	64.000000	157.0	31.2	5.04	1.02e-57	0.99
chr6-3911	chr6	53572383	53574447	+	45.0	2064.000	81.000000	157.0	28.2	5.56	3.30e-63	0.95
chr7-5855	chr7	70330866	70332926	+	45.0	2060.000	71.000000	157.0	29.4	5.34	6.25e-61	0.97
chr7-7676	chr7	118739835	118741779	+	45.0	1944.000	59.000000	157.0	34.1	4.60	7.73e-53	0.99
chr7-7330	chr7	145110331	145112491	+	45.0	2160.000	61.000000	157.0	34.7	4.52	6.32e-52	0.93
chr8-3015	chr8	84004132	84005907	+	45.0	1775.000	95.000000	157.0	31.8	4.94	1.07e-56	0.95
chr8-7185	chr8	114706574	114708863	+	45.0	2289.000	55.000000	157.0	30.0	5.23	7.81e-60	0.97
chr9-6289	chr9	21002201	21003774	+	45.0	1573.000	60.000000	157.0	33.5	4.68	9.03e-54	0.99
chr9-11757	chr9	32939575	32941606	+	45.0	2031.000	42.000000	157.0	27.6	5.68	2.17e-64	1.03
chr9-4940	chr9	35174982	35176482	+	45.0	1500.000	71.000000	157.0	32.3	4.85	1.06e-55	0.98
chr9-5390	chr9	75313242	75315016	+	45.0	1774.000	67.000000	157.0	32.3	4.85	1.06e-55	0.92
chr10-1606	chr10	19591728	19592979	+	45.0	1251.000	138.000000	157.0	15.3	10.27	1.96e-99	0.97
chr10-5312	chr10	42055947	42058264	+	45.0	2317.000	58.000000	157.0	37.1	4.24	1.82e-48	0.99
chr10-10241	chr10	83041955	83044128	+	45.0	2173.000	41.000000	157.0	35.3	4.45	4.93e-51	0.93
chr10-2790	chr10	99203388	99205179	+	45.0	1791.000	93.000000	157.0	34.1	4.60	7.73e-53	0.92
chr10-2757	chr10	99393146	99394906	+	45.0	1760.000	94.000000	157.0	25.9	6.07	3.98e-68	0.91
chr11-4408	chr11	5151427	5153189	+	45.0	1762.000	105.000000	157.0	35.9	4.38	3.69e-50	0.90
chr11-15143	chr11	11461408	11462956	+	45.0	1548.000	46.000000	157.0	25.9	6.07	3.98e-68	0.98
chr12-1141	chr12	52097414	52098681	+	45.0	1267.000	141.000000	157.0	20.0	7.85	3.60e-83	0.97
chr12-11774	chr12	99282157	99285284	+	45.0	3127.000	37.000000	157.0	37.1	4.24	1.82e-48	0.92
chr13-2728	chr13	28639199	28641141	+	45.0	1942.000	85.000000	157.0	33.5	4.68	9.03e-54	0.94
chr13-3479	chr13	49651917	49653961	+	45.0	2044.000	72.000000	157.0	28.2	5.56	3.30e-63	0.95
chr13-3575	chr13	52821110	52823244	+	45.0	2134.000	71.000000	157.0	35.3	4.45	4.93e-51	0.94
chr13-4577	chr13	112415563	112417739	+	45.0	2176.000	61.000000	157.0	30.6	5.13	9.18e-59	0.98
chr14-3378	chr14	36967782	36969346	+	45.0	1564.000	65.000000	157.0	28.2	5.56	3.30e-63	0.96
chr15-3403	chr15	59373408	59375182	+	45.0	1774.000	73.000000	157.0	27.6	5.68	2.17e-64	0.96
chr15-2874	chr15	80263525	80265095	+	45.0	1570.000	83.000000	157.0	23.5	6.67	1.31e-73	0.96
chr15-2889	chr15	101265840	101267614	+	45.0	1774.000	83.000000	157.0	31.8	4.94	1.07e-56	0.97
chr16-2312	chr16	17208149	17209936	+	45.0	1787.000	76.000000	157.0	37.6	4.17	1.20e-47	0.95
chr16-2993	chr16	17910327	17911841	+	45.0	1514.000	64.000000	157.0	18.8	8.34	8.50e-87	0.97
chr16-4870	chr16	45093192	45095248	+	45.0	2056.000	49.000000	157.0	32.3	4.85	1.06e-55	0.94
chr16-5492	chr16	72995203	72997409	+	45.0	2206.000	46.000000	157.0	34.1	4.60	7.73e-53	0.94
chr17-12166	chr17	6947749	6949427	+	45.0	1678.000	38.000000	157.0	14.1	11.12	2.20e-104	0.98
chr17-9250	chr17	49614098	49616156	+	45.0	2058.000	44.000000	157.0	28.8	5.45	4.69e-62	0.98
chr17-4121	chr17	56506630	56508392	+	45.0	1762.000	71.000000	157.0	32.9	4.77	1.01e-54	0.94
chr17-3618	chr17	74394909	74396695	+	45.0	1786.000	78.000000	157.0	28.8	5.45	4.69e-62	0.97
chr18-3024	chr18	4513668	4515845	+	45.0	2177.000	66.000000	157.0	28.8	5.45	4.69e-62	0.96
chr18-4411	chr18	6764429	6766029	+	45.0	1600.000	52.000000	157.0	21.2	7.42	8.83e-80	0.94
chr19-2061	chr19	44068926	44070702	+	45.0	1776.000	79.000000	157.0	30.0	5.23	7.81e-60	0.94
chr19-1025	chr19	46707205	46708729	+	45.0	1524.000	132.000000	157.0	26.5	5.93	7.57e-67	0.97
chrX-2443	chrX	93631023	93633140	+	45.0	2117.000	46.000000	157.0	24.1	6.51	3.51e-72	0.97
chr1-5343	chr1	59457842	59459816	+	44.8	1974.000	66.000000	156.0	32.3	4.82	5.18e-55	1.00
chr1-6599	chr1	184844832	184846681	+	44.8	1849.000	59.000000	156.0	31.2	5.00	5.14e-57	0.98
chr2-13484	chr2	51972114	51973785	+	44.8	1671.000	50.000000	156.0	29.4	5.30	3.34e-60	0.93
chr2-11022	chr2	83708881	83711457	+	44.8	2576.000	56.000000	156.0	31.8	4.91	5.30e-56	0.95
chr2-13080	chr2	127207461	127209292	+	44.8	1831.000	51.000000	156.0	32.9	4.74	4.80e-54	0.95
chr2-5488	chr2	157525749	157527613	+	44.8	1864.000	88.000000	156.0	36.5	4.28	1.14e-48	0.97
chr2-6394	chr2	166236892	166238676	+	44.8	1784.000	79.000000	156.0	27.1	5.77	7.73e-65	0.95
chr2-6289	chr2	168839354	168841871	+	44.8	2517.000	80.000000	156.0	37.6	4.14	5.03e-47	0.96
chr4-9568	chr4	43507722	43509813	+	44.8	2091.000	54.000000	156.0	27.1	5.77	7.73e-65	0.96
chr4-8251	chr4	86294374	86296772	+	44.8	2398.000	59.000000	156.0	28.2	5.53	1.84e-62	0.97
chr4-16344	chr4	142083232	142085093	+	44.8	1861.000	42.000000	156.0	30.0	5.20	4.09e-59	0.94
chr4-6570	chr4	144887107	144889407	+	44.8	2300.000	68.000000	156.0	37.1	4.21	7.72e-48	0.94
chr4-4077	chr4	155066338	155068114	+	44.8	1776.000	92.000000	156.0	35.3	4.42	2.20e-50	0.97
chr5-7535	chr5	3398831	3401243	+	44.8	2412.000	55.000000	156.0	32.3	4.82	5.18e-55	0.96
chr5-16866	chr5	21424460	21426307	+	44.8	1847.000	37.000000	156.0	29.4	5.30	3.34e-60	0.94
chr5-13482	chr5	76973959	76975666	+	44.8	1707.000	41.000000	156.0	25.3	6.17	1.20e-68	0.92
chr5-5944	chr5	131306659	131308697	+	44.8	2038.000	65.000000	156.0	31.2	5.00	5.14e-57	0.98
chr6-7792	chr6	34684358	34686415	+	44.8	2057.000	52.000000	156.0	35.9	4.35	1.62e-49	0.95
chr6-3705	chr6	39117557	39119069	+	44.8	1512.000	84.000000	156.0	28.8	5.41	2.56e-61	0.94
chr8-4944	chr8	11002734	11004860	+	44.8	2126.000	68.000000	156.0	34.1	4.57	3.56e-52	0.95
chr8-3781	chr8	23057801	23059575	+	44.8	1774.000	81.000000	156.0	34.1	4.57	3.56e-52	0.94
chr8-13389	chr8	53511054	53512694	+	44.8	1640.000	40.000000	156.0	25.3	6.17	1.20e-68	0.94
chr8-3275	chr8	105253877	105255668	+	44.8	1791.000	90.000000	156.0	33.5	4.65	4.24e-53	0.97
chr8-2796	chr8	110997012	110998514	+	44.8	1502.000	100.000000	156.0	22.9	6.80	3.01e-74	0.93
chr8-6053	chr8	121668108	121669922	+	44.8	1814.000	61.000000	156.0	37.1	4.21	7.72e-48	0.92
chr9-11240	chr9	42115618	42117655	+	44.8	2037.000	43.000000	156.0	37.1	4.21	7.72e-48	0.93
chr9-3077	chr9	46388779	46390532	+	44.8	1753.000	100.000000	156.0	35.9	4.35	1.62e-49	0.94
chr9-4212	chr9	103479775	103481894	+	44.8	2119.000	80.000000	156.0	35.3	4.42	2.20e-50	0.95
chr10-3552	chr10	41302403	41304237	+	44.8	1834.000	77.000000	156.0	31.2	5.00	5.14e-57	0.95
chr10-5799	chr10	42932171	42934266	+	44.8	2095.000	55.000000	156.0	27.6	5.64	1.24e-63	0.92
chr10-3857	chr10	83722250	83724089	+	44.8	1839.000	73.000000	156.0	37.1	4.21	7.72e-48	0.94
chr10-4171	chr10	85598125	85599893	+	44.8	1768.000	69.000000	156.0	24.7	6.32	5.48e-70	0.94
chr11-5290	chr11	3336790	3338552	+	44.8	1762.000	92.000000	156.0	33.5	4.65	4.24e-53	0.99
chr11-2860	chr11	54955560	54956815	+	44.8	1255.000	142.000000	156.0	31.8	4.91	5.30e-56	0.94
chr11-9994	chr11	90663661	90666051	+	44.8	2390.000	59.000000	156.0	33.5	4.65	4.24e-53	0.94
chr12-4048	chr12	30910510	30912104	+	44.8	1594.000	63.000000	156.0	36.5	4.28	1.14e-48	0.94
chr12-3493	chr12	111937347	111939510	+	44.8	2163.000	69.000000	156.0	35.3	4.42	2.20e-50	0.98
chr13-3852	chr13	63243685	63245965	+	44.8	2280.000	68.000000	156.0	31.8	4.91	5.30e-56	0.95
chr14-2606	chr14	7026552	7028090	+	44.8	1538.000	77.000000	156.0	11.2	13.96	6.77e-118	0.98
chr14-2336	chr14	54253317	54254833	+	44.8	1516.000	84.000000	156.0	38.2	4.08	3.15e-46	0.92
chr14-1644	chr14	67260437	67262200	+	44.8	1763.000	107.000000	156.0	35.3	4.42	2.20e-50	1.02
chr15-1903	chr15	25364176	25365944	+	44.8	1768.000	112.000000	156.0	25.9	6.03	2.42e-67	1.00
chr15-5926	chr15	38281624	38283681	+	44.8	2057.000	51.000000	156.0	36.5	4.28	1.14e-48	0.92
chr15-3049	chr15	43169498	43171327	+	44.8	1829.000	79.000000	156.0	28.8	5.41	2.56e-61	0.98
chr15-3624	chr15	81416175	81418237	+	44.8	2062.000	70.000000	156.0	28.2	5.53	1.84e-62	0.97
chr15-2477	chr15	83016575	83018356	+	44.8	1781.000	93.000000	156.0	25.3	6.17	1.20e-68	0.94
chr15-4724	chr15	102269903	102271981	+	44.8	2078.000	59.000000	156.0	24.7	6.32	5.48e-70	0.93
chr16-2494	chr16	37731189	37733053	+	44.8	1864.000	73.000000	156.0	32.3	4.82	5.18e-55	0.95
chr16-2826	chr16	90420728	90422853	+	44.8	2125.000	67.000000	156.0	35.3	4.42	2.20e-50	0.94
chr17-3819	chr17	46125799	46127861	+	44.8	2062.000	75.000000	156.0	32.9	4.74	4.80e-54	0.95
chr17-5634	chr17	70737539	70739605	+	44.8	2066.000	58.000000	156.0	25.9	6.03	2.42e-67	0.95
chr17-4443	chr17	84626055	84627867	+	44.8	1812.000	68.000000	156.0	31.2	5.00	5.14e-57	0.92
chr18-2980	chr18	38992279	38994115	+	44.8	1836.000	67.000000	156.0	33.5	4.65	4.24e-53	0.94
chr18-3967	chr18	77046288	77047972	+	44.8	1684.000	56.000000	156.0	25.9	6.03	2.42e-67	0.94
chr19-1828	chr19	4877572	4879516	+	44.8	1944.000	85.000000	156.0	28.8	5.41	2.56e-61	0.98
chr19-3666	chr19	6240863	6242851	+	44.8	1988.000	53.000000	156.0	32.9	4.74	4.80e-54	0.96
chrX-2569	chrX	53369313	53371287	+	44.8	1974.000	44.000000	156.0	22.3	6.98	9.39e-76	0.97
chrX-1538	chrX	143850378	143852914	+	44.8	2536.000	65.000000	156.0	30.6	5.10	4.72e-58	1.03
chr1-6917	chr1	133236111	133238252	+	44.5	2141.000	57.000000	155.0	33.5	4.62	1.98e-52	0.93
chr2-16755	chr2	143062253	143063860	+	44.5	1607.000	45.000000	155.0	28.2	5.49	1.02e-61	0.93
chr2-4742	chr2	154941567	154943289	+	44.5	1722.000	97.000000	155.0	34.1	4.54	1.63e-51	0.92
chr2-8518	chr2	166352680	166354786	+	44.5	2106.000	66.000000	155.0	35.9	4.32	7.04e-49	0.95
chr3-5081	chr3	79841644	79843455	+	44.5	1811.000	60.000000	155.0	24.1	6.43	1.48e-70	0.93
chr3-8496	chr3	94442743	94444556	+	44.5	1813.000	44.000000	155.0	21.8	7.12	1.88e-76	0.95
chr3-6598	chr3	109781747	109783616	+	44.5	1869.000	51.000000	155.0	29.4	5.27	1.77e-59	0.96
chr3-11651	chr3	131489436	131491279	+	44.5	1843.000	38.000000	155.0	27.6	5.61	6.98e-63	0.94
chr4-4108	chr4	116122924	116124722	+	44.5	1798.000	91.000000	155.0	28.8	5.38	1.39e-60	0.93
chr4-5369	chr4	135174787	135176547	+	44.5	1760.000	77.000000	155.0	34.1	4.54	1.63e-51	0.95
chr4-3214	chr4	139289184	139290959	+	44.5	1775.000	108.000000	155.0	31.2	4.97	2.58e-56	0.94
chr4-14782	chr4	149855577	149857349	+	44.5	1772.000	44.000000	155.0	28.2	5.49	1.02e-61	0.95
chr5-4790	chr5	92904592	92906438	+	44.5	1846.000	75.000000	155.0	29.4	5.27	1.77e-59	0.94
chr5-4401	chr5	113650014	113652622	+	44.5	2608.000	80.000000	155.0	31.8	4.88	2.61e-55	1.00
chr5-6138	chr5	148341573	148343585	+	44.5	2012.000	64.000000	155.0	27.1	5.73	4.47e-64	1.00
chr6-2031	chr6	52012209	52013777	+	44.5	1568.000	129.000000	155.0	28.8	5.38	1.39e-60	0.98
chr8-5653	chr8	45357882	45359402	+	44.5	1520.000	63.000000	155.0	27.6	5.61	6.98e-63	0.96
chr8-2832	chr8	94875541	94877069	+	44.5	1528.000	99.000000	155.0	30.6	5.07	2.41e-57	0.95
chr9-4003	chr9	118653962	118655759	+	44.5	1797.000	83.000000	155.0	32.3	4.79	2.50e-54	0.96
chr10-4588	chr10	31444805	31446357	+	44.5	1552.000	64.000000	155.0	27.1	5.73	4.47e-64	0.94
chr10-3202	chr10	44408881	44410757	+	44.5	1876.000	83.000000	155.0	37.1	4.18	3.26e-47	1.00
chr10-4856	chr10	122756685	122758689	+	44.5	2004.000	62.000000	155.0	30.6	5.07	2.41e-57	0.99
chr11-5056	chr11	43633093	43635130	+	44.5	2037.000	95.000000	155.0	35.3	4.39	9.74e-50	0.96
chr11-8079	chr11	68622536	68624482	+	44.5	1946.000	68.000000	155.0	32.3	4.79	2.50e-54	0.93
chr11-6150	chr11	101771508	101773283	+	44.5	1775.000	83.000000	155.0	34.7	4.47	1.29e-50	0.93
chr11-21836	chr11	103965936	103967758	+	44.5	1822.000	39.000000	155.0	29.4	5.27	1.77e-59	0.93
chr12-1150	chr12	24498153	24499404	+	44.5	1251.000	140.000000	155.0	12.9	11.98	1.21e-107	0.95
chr12-2672	chr12	36316479	36318274	+	44.5	1795.000	81.000000	155.0	37.1	4.18	3.26e-47	0.92
chr12-2674	chr12	69537149	69539103	+	44.5	1954.000	81.000000	155.0	35.3	4.39	9.74e-50	0.96
chr12-3653	chr12	99627143	99628902	+	44.5	1759.000	67.000000	155.0	33.5	4.62	1.98e-52	0.96
chr13-4163	chr13	31814785	31816891	+	44.5	2106.000	64.000000	155.0	34.1	4.54	1.63e-51	0.96
chr13-8675	chr13	40703250	40705458	+	44.5	2208.000	42.000000	155.0	31.2	4.97	2.58e-56	1.01
chr13-3914	chr13	44230596	44232585	+	44.5	1989.000	67.000000	155.0	38.2	4.05	1.29e-45	0.93
chr13-7736	chr13	92592465	92595011	+	44.5	2546.000	45.000000	155.0	35.9	4.32	7.04e-49	0.95
chr13-3523	chr13	98015535	98017577	+	44.5	2042.000	72.000000	155.0	30.6	5.07	2.41e-57	0.95
chr14-2170	chr14	63193028	63194538	+	44.5	1510.000	89.000000	155.0	37.1	4.18	3.26e-47	0.93
chr14-2740	chr14	118131585	118133363	+	44.5	1778.000	75.000000	155.0	26.5	5.86	2.65e-65	0.96
chr15-3296	chr15	76246435	76248237	+	44.5	1802.000	75.000000	155.0	31.8	4.88	2.61e-55	0.95
chr15-2849	chr15	101293019	101294816	+	44.5	1797.000	84.000000	155.0	35.3	4.39	9.74e-50	0.93
chr16-2523	chr16	21845514	21847332	+	44.5	1818.000	72.000000	155.0	34.1	4.54	1.63e-51	0.96
chr16-4529	chr16	44694837	44697284	+	44.5	2447.000	51.000000	155.0	33.5	4.62	1.98e-52	0.97
chr16-2148	chr16	94245976	94247813	+	44.5	1837.000	80.000000	155.0	37.1	4.18	3.26e-47	0.93
chr17-9428	chr17	21732957	21734835	+	44.5	1878.000	43.000000	155.0	35.3	4.39	9.74e-50	0.98
chr17-4816	chr17	32090376	32092422	+	44.5	2046.000	64.000000	155.0	33.5	4.62	1.98e-52	0.93
chr17-3299	chr17	71597978	71599531	+	44.5	1553.000	83.000000	155.0	32.3	4.79	2.50e-54	0.92
chr18-1696	chr18	52465165	52466696	+	44.5	1531.000	98.000000	155.0	32.3	4.79	2.50e-54	0.97
chrX-1671	chrX	101299061	101301353	+	44.5	2292.000	61.000000	155.0	27.1	5.73	4.47e-64	0.96
chr2-23441	chr2	5713246	5715175	+	44.2	1929.000	38.000000	154.0	30.6	5.04	1.22e-56	0.97
chr2-4956	chr2	132029426	132031189	+	44.2	1763.000	94.000000	154.0	35.3	4.36	4.28e-49	0.93
chr3-3305	chr3	121389855	121392401	+	44.2	2546.000	82.000000	154.0	34.7	4.44	5.77e-50	1.00
chr4-5982	chr4	145193905	145195696	+	44.2	1791.000	72.000000	154.0	28.2	5.46	5.60e-61	0.98
chr5-4959	chr5	3595386	3597169	+	44.2	1783.000	73.000000	154.0	31.2	4.94	1.28e-55	0.93
chr5-6002	chr5	30458665	30460800	+	44.2	2135.000	64.000000	154.0	31.8	4.85	1.27e-54	0.97
chr5-3818	chr5	74703642	74705546	+	44.2	1904.000	89.000000	154.0	32.3	4.76	1.20e-53	0.96
chr5-6196	chr5	108433323	108434838	+	44.2	1515.000	63.000000	154.0	23.5	6.55	3.82e-71	0.96
chr5-8684	chr5	112857839	112859936	+	44.2	2097.000	51.000000	154.0	31.8	4.85	1.27e-54	1.01
chr5-6063	chr5	113490070	113491851	+	44.2	1781.000	64.000000	154.0	27.1	5.69	2.56e-63	0.95
chr5-9184	chr5	142701437	142703233	+	44.2	1796.000	50.000000	154.0	38.2	4.03	5.23e-45	0.93
chr6-5307	chr6	53759721	53761788	+	44.2	2067.000	66.000000	154.0	32.9	4.68	1.07e-52	1.00
chr6-4150	chr6	113391967	113393737	+	44.2	1770.000	78.000000	154.0	34.7	4.44	5.77e-50	0.92
chr7-5074	chr7	83745114	83747018	+	44.2	1904.000	79.000000	154.0	37.1	4.16	1.37e-46	0.95
chr7-8295	chr7	96151952	96153569	+	44.2	1617.000	56.000000	154.0	30.0	5.13	1.10e-57	0.96
chr7-7103	chr7	115153029	115155141	+	44.2	2112.000	62.000000	154.0	35.9	4.29	3.05e-48	0.93
chr7-7490	chr7	128246027	128247814	+	44.2	1787.000	60.000000	154.0	30.0	5.13	1.10e-57	0.94
chr8-7577	chr8	71881300	71882846	+	44.2	1546.000	53.000000	154.0	24.7	6.23	2.18e-68	0.97
chr8-3525	chr8	125994768	125996539	+	44.2	1771.000	86.000000	154.0	22.3	6.89	4.55e-74	0.92
chr9-4817	chr9	110780888	110782680	+	44.2	1792.000	73.000000	154.0	34.1	4.51	7.43e-51	0.93
chr9-5304	chr9	117191745	117193821	+	44.2	2076.000	68.000000	154.0	35.9	4.29	3.05e-48	0.95
chr10-3747	chr10	34417631	34419137	+	44.2	1506.000	74.000000	154.0	20.6	7.48	8.29e-79	0.91
